"Fecha","ID_Tienda","Tipo_Tienda","Ventas_Totales_Tienda","Inflacion_IPC","Tasa_Desempleo","Diagnostico_Desempleo","Diagnostico_Inflacion"
"2011-01-21",1,A,1327405.42,211.8272343,7.742,Estrés Moderado,Inflación Alta
"2011-01-28",1,A,1316899.31,212.1970577,7.742,Estrés Moderado,Inflación Alta
"2011-02-04",1,A,1606629.58,212.5668812,7.742,Estrés Moderado,Inflación Alta
"2011-02-11",1,A,1649614.93,212.9367046,7.742,Estrés Moderado,Inflación Alta
"2011-02-18",1,A,1686842.78,213.2478853,7.742,Estrés Moderado,Inflación Alta
"2011-02-25",1,A,1456800.28,213.535609,7.742,Estrés Moderado,Inflación Alta
"2011-03-04",1,A,1636263.41,213.8233327,7.742,Estrés Moderado,Inflación Alta
"2011-03-11",1,A,1553191.63,214.1110564,7.742,Estrés Moderado,Inflación Alta
"2011-03-18",1,A,1576818.06,214.3627114,7.742,Estrés Moderado,Inflación Alta
"2011-03-25",1,A,1541102.3800000001,214.5999389,7.742,Estrés Moderado,Inflación Alta
"2011-04-01",1,A,1495064.75,214.8371664,7.682,Estrés Moderado,Inflación Alta
"2011-04-08",1,A,1614259.35,215.0743939,7.682,Estrés Moderado,Inflación Alta
"2011-04-15",1,A,1559889.0,215.2918561,7.682,Estrés Moderado,Inflación Alta
"2011-04-22",1,A,1564819.81,215.4599053,7.682,Estrés Moderado,Inflación Alta
"2011-04-29",1,A,1455090.69,215.6279544,7.682,Estrés Moderado,Inflación Alta
"2011-05-06",1,A,1629391.28,215.7960035,7.682,Estrés Moderado,Inflación Alta
"2011-05-13",1,A,1604775.58,215.9640526,7.682,Estrés Moderado,Inflación Alta
"2011-05-20",1,A,1428218.27,215.7339202,7.682,Estrés Moderado,Inflación Alta
"2011-05-27",1,A,1466046.67,215.5037878,7.682,Estrés Moderado,Inflación Alta
"2011-06-03",1,A,1635078.41,215.2736553,7.682,Estrés Moderado,Inflación Alta
"2011-06-10",1,A,1588948.32,215.0435229,7.682,Estrés Moderado,Inflación Alta
"2011-06-17",1,A,1532114.86,214.9980596,7.682,Estrés Moderado,Inflación Alta
"2011-06-24",1,A,1438830.15,215.0910982,7.682,Estrés Moderado,Inflación Alta
"2011-07-01",1,A,1488538.09,215.1841368,7.962,Estrés Moderado,Inflación Alta
"2011-07-08",1,A,1534849.64,215.2771754,7.962,Estrés Moderado,Inflación Alta
"2011-07-15",1,A,1455119.97,215.3611087,7.962,Estrés Moderado,Inflación Alta
"2011-07-22",1,A,1396926.82,215.4222784,7.962,Estrés Moderado,Inflación Alta
"2011-07-29",1,A,1352219.79,215.4834482,7.962,Estrés Moderado,Inflación Alta
"2011-08-05",1,A,1624383.75,215.544618,7.962,Estrés Moderado,Inflación Alta
"2011-08-12",1,A,1525147.09,215.6057878,7.962,Estrés Moderado,Inflación Alta
"2011-08-19",1,A,1530761.43,215.6693107,7.962,Estrés Moderado,Inflación Alta
"2011-08-26",1,A,1464693.46,215.7332258,7.962,Estrés Moderado,Inflación Alta
"2011-09-02",1,A,1550229.22,215.7971409,7.962,Estrés Moderado,Inflación Alta
"2011-09-09",1,A,1540471.24,215.861056,7.962,Estrés Moderado,Inflación Alta
"2011-09-16",1,A,1514259.78,216.0410526,7.962,Estrés Moderado,Inflación Alta
"2011-09-23",1,A,1380020.27,216.3758246,7.962,Estrés Moderado,Inflación Alta
"2011-09-30",1,A,1394561.83,216.7105965,7.962,Estrés Moderado,Inflación Alta
"2011-10-07",1,A,1630989.95,217.0453684,7.866,Estrés Moderado,Inflación Alta
"2011-10-14",1,A,1493525.93,217.3552733,7.866,Estrés Moderado,Inflación Alta
"2011-10-21",1,A,1502562.78,217.5159762,7.866,Estrés Moderado,Inflación Alta
"2011-10-28",1,A,1445249.09,217.6766791,7.866,Estrés Moderado,Inflación Alta
"2011-11-04",1,A,1697229.58,217.837382,7.866,Estrés Moderado,Inflación Alta
"2011-11-11",1,A,1594938.89,217.9980849,7.866,Estrés Moderado,Inflación Alta
"2011-11-18",1,A,1539483.7,218.2205088,7.866,Estrés Moderado,Inflación Alta
"2011-11-25",1,A,2033320.66,218.4676211,7.866,Estrés Moderado,Inflación Alta
"2011-12-02",1,A,1584083.95,218.7147333,7.866,Estrés Moderado,Inflación Alta
"2011-12-09",1,A,1799682.38,218.9618456,7.866,Estrés Moderado,Inflación Alta
"2011-12-16",1,A,1881176.67,219.1794533,7.866,Estrés Moderado,Inflación Alta
"2011-12-23",1,A,2270188.99,219.3577216,7.866,Estrés Moderado,Inflación Alta
"2011-12-30",1,A,1497462.72,219.5359898,7.866,Estrés Moderado,Inflación Alta
"2012-01-06",1,A,1550369.92,219.7142581,7.348,Estrés Moderado,Inflación Alta
"2012-01-13",1,A,1459601.17,219.8925263,7.348,Estrés Moderado,Inflación Alta
"2012-01-20",1,A,1394393.84,219.9856893,7.348,Estrés Moderado,Inflación Alta
"2012-01-27",1,A,1319325.59,220.0788523,7.348,Estrés Moderado,Inflación Alta
"2012-02-03",1,A,1636339.65,220.1720153,7.348,Estrés Moderado,Inflación Alta
"2012-02-10",1,A,1802477.43,220.2651783,7.348,Estrés Moderado,Inflación Alta
"2012-02-17",1,A,1819870.0,220.4257586,7.348,Estrés Moderado,Inflación Alta
"2012-02-24",1,A,1539387.83,220.636902,7.348,Estrés Moderado,Inflación Alta
"2012-03-02",1,A,1688420.76,220.8480454,7.348,Estrés Moderado,Inflación Alta
"2012-03-09",1,A,1675431.16,221.0591887,7.348,Estrés Moderado,Inflación Alta
"2012-03-16",1,A,1677472.78,221.2118132,7.348,Estrés Moderado,Inflación Alta
"2012-03-23",1,A,1511068.07,221.2864126,7.348,Estrés Moderado,Inflación Alta
"2012-03-30",1,A,1649604.63,221.3610119,7.348,Estrés Moderado,Inflación Alta
"2012-04-06",1,A,1899676.8800000001,221.4356112,7.143,Estrés Moderado,Inflación Alta
"2012-04-13",1,A,1621031.7,221.5102105,7.143,Estrés Moderado,Inflación Alta
"2012-04-20",1,A,1521577.8699999999,221.5640737,7.143,Estrés Moderado,Inflación Alta
"2012-04-27",1,A,1468928.3699999999,221.6179368,7.143,Estrés Moderado,Inflación Alta
"2012-05-04",1,A,1684519.99,221.6718,7.143,Estrés Moderado,Inflación Alta
"2012-05-11",1,A,1611096.05,221.7256632,7.143,Estrés Moderado,Inflación Alta
"2012-05-18",1,A,1595901.87,221.742674,7.143,Estrés Moderado,Inflación Alta
"2012-05-25",1,A,1555444.55,221.744944,7.143,Estrés Moderado,Inflación Alta
"2012-06-01",1,A,1624477.58,221.7472139,7.143,Estrés Moderado,Inflación Alta
"2012-06-08",1,A,1697230.96,221.7494839,7.143,Estrés Moderado,Inflación Alta
"2012-06-15",1,A,1630607.0,221.7626421,7.143,Estrés Moderado,Inflación Alta
"2012-06-22",1,A,1527845.81,221.8030211,7.143,Estrés Moderado,Inflación Alta
"2012-06-29",1,A,1540421.49,221.8434,7.143,Estrés Moderado,Inflación Alta
"2012-07-06",1,A,1769854.16,221.8837789,6.908,Estrés Moderado,Inflación Alta
"2012-07-13",1,A,1527014.04,221.9241579,6.908,Estrés Moderado,Inflación Alta
"2012-07-20",1,A,1497954.76,221.9327267,6.908,Estrés Moderado,Inflación Alta
"2012-07-27",1,A,1439123.71,221.9412954,6.908,Estrés Moderado,Inflación Alta
"2012-08-03",1,A,1631135.79,221.9498642,6.908,Estrés Moderado,Inflación Alta
"2012-08-10",1,A,1592409.97,221.9584329,6.908,Estrés Moderado,Inflación Alta
"2012-08-17",1,A,1597868.05,222.0384109,6.908,Estrés Moderado,Inflación Alta
"2012-08-24",1,A,1494122.38,222.1719457,6.908,Estrés Moderado,Inflación Alta
"2012-08-31",1,A,1582083.4,222.3054805,6.908,Estrés Moderado,Inflación Alta
"2012-09-07",1,A,1661767.33,222.4390153,6.908,Estrés Moderado,Inflación Alta
"2012-09-14",1,A,1517428.87,222.5820193,6.908,Estrés Moderado,Inflación Alta
"2012-09-21",1,A,1506126.06,222.7818386,6.908,Estrés Moderado,Inflación Alta
"2012-09-28",1,A,1437059.26,222.9816579,6.908,Estrés Moderado,Inflación Alta
"2012-10-05",1,A,1670785.97,223.1814772,6.573,Estrés Moderado,Inflación Alta
"2012-10-12",1,A,1573072.81,223.3812965,6.573,Estrés Moderado,Inflación Alta
"2012-10-19",1,A,1508068.77,223.4257233,6.573,Estrés Moderado,Inflación Alta
"2012-10-26",1,A,1493659.74,223.4442513,6.573,Estrés Moderado,Inflación Alta
"2010-02-05",2,A,2136989.46,210.7526053,8.324,Estrés Moderado,Inflación Alta
"2010-02-12",2,A,2137809.5,210.8979935,8.324,Estrés Moderado,Inflación Alta
"2010-02-19",2,A,2124451.54,210.9451605,8.324,Estrés Moderado,Inflación Alta
"2010-02-26",2,A,1865097.27,210.9759573,8.324,Estrés Moderado,Inflación Alta
"2010-03-05",2,A,1991013.13,211.0067542,8.324,Estrés Moderado,Inflación Alta
"2010-03-12",2,A,1990483.78,211.037551,8.324,Estrés Moderado,Inflación Alta
"2010-03-19",2,A,1946070.8800000001,210.8733316,8.324,Estrés Moderado,Inflación Alta
"2010-03-26",2,A,1750197.81,210.6766095,8.324,Estrés Moderado,Inflación Alta
"2010-04-02",2,A,2066187.72,210.4798874,8.2,Estrés Moderado,Inflación Alta
"2010-04-09",2,A,1954689.21,210.2831653,8.2,Estrés Moderado,Inflación Alta
"2010-04-16",2,A,1874957.94,210.1495463,8.2,Estrés Moderado,Inflación Alta
"2010-04-23",2,A,1821990.93,210.1000648,8.2,Estrés Moderado,Inflación Alta
"2010-04-30",2,A,1802450.29,210.0505833,8.2,Estrés Moderado,Inflación Alta
"2010-05-07",2,A,2042581.71,210.0011018,8.2,Estrés Moderado,Inflación Alta
"2010-05-14",2,A,1880752.36,209.9984585,8.2,Estrés Moderado,Inflación Alta
"2010-05-21",2,A,1896937.1,210.2768443,8.2,Estrés Moderado,Inflación Alta
"2010-05-28",2,A,1957113.89,210.5552301,8.2,Estrés Moderado,Inflación Alta
"2010-06-04",2,A,2102539.93,210.833616,8.2,Estrés Moderado,Inflación Alta
"2010-06-11",2,A,2025538.76,211.1120018,8.2,Estrés Moderado,Inflación Alta
"2010-06-18",2,A,2001636.96,211.1096543,8.2,Estrés Moderado,Inflación Alta
"2010-06-25",2,A,1939927.09,210.9950134,8.2,Estrés Moderado,Inflación Alta
"2010-07-02",2,A,2003940.64,210.8803726,8.099,Estrés Moderado,Inflación Alta
"2010-07-09",2,A,1880902.6199999999,210.7657317,8.099,Estrés Moderado,Inflación Alta
"2010-07-16",2,A,1845879.79,210.7577954,8.099,Estrés Moderado,Inflación Alta
"2010-07-23",2,A,1781717.71,210.8921319,8.099,Estrés Moderado,Inflación Alta
"2010-07-30",2,A,1804246.16,211.0264684,8.099,Estrés Moderado,Inflación Alta
"2010-08-06",2,A,1991909.98,211.1608049,8.099,Estrés Moderado,Inflación Alta
"2010-08-13",2,A,1895601.05,211.2951413,8.099,Estrés Moderado,Inflación Alta
"2010-08-20",2,A,1964335.23,211.2596586,8.099,Estrés Moderado,Inflación Alta
"2010-08-27",2,A,1863840.49,211.2241759,8.099,Estrés Moderado,Inflación Alta
"2010-09-03",2,A,1904608.09,211.1886931,8.099,Estrés Moderado,Inflación Alta
"2010-09-10",2,A,1839128.83,211.1532104,8.099,Estrés Moderado,Inflación Alta
"2010-09-17",2,A,1793903.6,211.1806415,8.099,Estrés Moderado,Inflación Alta
"2010-09-24",2,A,1724557.22,211.2552578,8.099,Estrés Moderado,Inflación Alta
"2010-10-01",2,A,1827440.43,211.3298742,8.163,Estrés Moderado,Inflación Alta
"2010-10-08",2,A,1849921.44,211.4044906,8.163,Estrés Moderado,Inflación Alta
"2010-10-15",2,A,1794355.49,211.4713286,8.163,Estrés Moderado,Inflación Alta
"2010-10-22",2,A,1737947.64,211.5187208,8.163,Estrés Moderado,Inflación Alta
"2010-10-29",2,A,1802755.11,211.5661131,8.163,Estrés Moderado,Inflación Alta
"2010-11-05",2,A,1939061.41,211.6135053,8.163,Estrés Moderado,Inflación Alta
"2010-11-12",2,A,1916812.74,211.6608975,8.163,Estrés Moderado,Inflación Alta
"2010-11-19",2,A,1956739.17,211.5470304,8.163,Estrés Moderado,Inflación Alta
"2010-11-26",2,A,2658725.29,211.4062867,8.163,Estrés Moderado,Inflación Alta
"2010-12-03",2,A,2015781.27,211.265543,8.163,Estrés Moderado,Inflación Alta
"2010-12-10",2,A,2378726.55,211.1247993,8.163,Estrés Moderado,Inflación Alta
"2010-12-17",2,A,2609166.75,211.0645458,8.163,Estrés Moderado,Inflación Alta
"2010-12-24",2,A,3436007.68,211.0646599,8.163,Estrés Moderado,Inflación Alta
"2010-12-31",2,A,1750434.55,211.064774,8.163,Estrés Moderado,Inflación Alta
"2011-01-07",2,A,1758050.79,211.0648881,8.028,Estrés Moderado,Inflación Alta
"2011-01-14",2,A,1744193.58,211.1176713,8.028,Estrés Moderado,Inflación Alta
"2011-01-21",2,A,1751384.9,211.4864691,8.028,Estrés Moderado,Inflación Alta
"2011-01-28",2,A,1695371.68,211.8552668,8.028,Estrés Moderado,Inflación Alta
"2011-02-04",2,A,1929346.23,212.2240646,8.028,Estrés Moderado,Inflación Alta
"2011-02-11",2,A,2168041.61,212.5928624,8.028,Estrés Moderado,Inflación Alta
"2011-02-18",2,A,2080884.82,212.9033115,8.028,Estrés Moderado,Inflación Alta
"2011-02-25",2,A,1833511.08,213.190421,8.028,Estrés Moderado,Inflación Alta
"2011-03-04",2,A,1981607.78,213.4775305,8.028,Estrés Moderado,Inflación Alta
"2011-03-11",2,A,1879107.31,213.7646401,8.028,Estrés Moderado,Inflación Alta
"2011-03-18",2,A,1902557.66,214.0156238,8.028,Estrés Moderado,Inflación Alta
"2011-03-25",2,A,1766162.05,214.2521573,8.028,Estrés Moderado,Inflación Alta
"2011-04-01",2,A,1800171.36,214.4886908,7.931,Estrés Moderado,Inflación Alta
"2011-04-08",2,A,1847552.61,214.7252242,7.931,Estrés Moderado,Inflación Alta
"2011-04-15",2,A,1856467.84,214.9420631,7.931,Estrés Moderado,Inflación Alta
"2011-04-22",2,A,1886339.6,215.1096657,7.931,Estrés Moderado,Inflación Alta
"2011-04-29",2,A,1745545.28,215.2772683,7.931,Estrés Moderado,Inflación Alta
"2011-05-06",2,A,1837743.6,215.4448709,7.931,Estrés Moderado,Inflación Alta
"2011-05-13",2,A,1838513.07,215.6124735,7.931,Estrés Moderado,Inflación Alta
"2011-05-20",2,A,1688281.8599999999,215.3834778,7.931,Estrés Moderado,Inflación Alta
"2011-05-27",2,A,1797732.56,215.1544822,7.931,Estrés Moderado,Inflación Alta
"2011-06-03",2,A,1933756.21,214.9254865,7.931,Estrés Moderado,Inflación Alta
"2011-06-10",2,A,1929153.16,214.6964908,7.931,Estrés Moderado,Inflación Alta
"2011-06-17",2,A,1953771.99,214.6513538,7.931,Estrés Moderado,Inflación Alta
"2011-06-24",2,A,1790925.8,214.7441108,7.931,Estrés Moderado,Inflación Alta
"2011-07-01",2,A,1866243.0,214.8368678,7.852,Estrés Moderado,Inflación Alta
"2011-07-08",2,A,1853161.99,214.9296249,7.852,Estrés Moderado,Inflación Alta
"2011-07-15",2,A,1785187.29,215.0134426,7.852,Estrés Moderado,Inflación Alta
"2011-07-22",2,A,1743816.41,215.0749122,7.852,Estrés Moderado,Inflación Alta
"2011-07-29",2,A,1680693.06,215.1363819,7.852,Estrés Moderado,Inflación Alta
"2011-08-05",2,A,1876704.26,215.1978515,7.852,Estrés Moderado,Inflación Alta
"2011-08-12",2,A,1812768.26,215.2593211,7.852,Estrés Moderado,Inflación Alta
"2011-08-19",2,A,1844094.59,215.3229307,7.852,Estrés Moderado,Inflación Alta
"2011-08-26",2,A,1821139.91,215.386897,7.852,Estrés Moderado,Inflación Alta
"2011-09-02",2,A,1809119.7,215.4508632,7.852,Estrés Moderado,Inflación Alta
"2011-09-09",2,A,1748000.65,215.5148295,7.852,Estrés Moderado,Inflación Alta
"2011-09-16",2,A,1691439.52,215.6944378,7.852,Estrés Moderado,Inflación Alta
"2011-09-23",2,A,1669299.78,216.0282356,7.852,Estrés Moderado,Inflación Alta
"2011-09-30",2,A,1650394.44,216.3620333,7.852,Estrés Moderado,Inflación Alta
"2011-10-07",2,A,1837553.43,216.6958311,7.441,Estrés Moderado,Inflación Alta
"2011-10-14",2,A,1743882.19,217.0048261,7.441,Estrés Moderado,Inflación Alta
"2011-10-21",2,A,1834680.25,217.1650042,7.441,Estrés Moderado,Inflación Alta
"2011-10-28",2,A,1769296.25,217.3251824,7.441,Estrés Moderado,Inflación Alta
"2011-11-04",2,A,1959707.9,217.4853605,7.441,Estrés Moderado,Inflación Alta
"2011-11-11",2,A,1920725.15,217.6455387,7.441,Estrés Moderado,Inflación Alta
"2011-11-18",2,A,1902762.5,217.8670218,7.441,Estrés Moderado,Inflación Alta
"2011-11-25",2,A,2614202.3,218.1130269,7.441,Estrés Moderado,Inflación Alta
"2011-12-02",2,A,1954952.0,218.3590319,7.441,Estrés Moderado,Inflación Alta
"2011-12-09",2,A,2290549.32,218.605037,7.441,Estrés Moderado,Inflación Alta
"2011-12-16",2,A,2432736.52,218.8217928,7.441,Estrés Moderado,Inflación Alta
"2011-12-23",2,A,3224369.8,218.9995495,7.441,Estrés Moderado,Inflación Alta
"2011-12-30",2,A,1874226.52,219.1773063,7.441,Estrés Moderado,Inflación Alta
"2012-01-06",2,A,1799520.1400000001,219.355063,7.057,Estrés Moderado,Inflación Alta
"2012-01-13",2,A,1744725.48,219.5328198,7.057,Estrés Moderado,Inflación Alta
"2012-01-20",2,A,1711769.11,219.6258417,7.057,Estrés Moderado,Inflación Alta
"2012-01-27",2,A,1660906.1400000001,219.7188636,7.057,Estrés Moderado,Inflación Alta
"2012-02-03",2,A,1935299.94,219.8118854,7.057,Estrés Moderado,Inflación Alta
"2012-02-10",2,A,2103322.68,219.9049073,7.057,Estrés Moderado,Inflación Alta
"2012-02-17",2,A,2196688.46,220.0651993,7.057,Estrés Moderado,Inflación Alta
"2012-02-24",2,A,1861802.7,220.275944,7.057,Estrés Moderado,Inflación Alta
"2012-03-02",2,A,1952555.66,220.4866886,7.057,Estrés Moderado,Inflación Alta
"2012-03-09",2,A,1937628.26,220.6974332,7.057,Estrés Moderado,Inflación Alta
"2012-03-16",2,A,1976082.1300000001,220.8498468,7.057,Estrés Moderado,Inflación Alta
"2012-03-23",2,A,1790439.16,220.9244858,7.057,Estrés Moderado,Inflación Alta
"2012-03-30",2,A,1857480.84,220.9991248,7.057,Estrés Moderado,Inflación Alta
"2012-04-06",2,A,2129035.91,221.0737638,6.891,Estrés Moderado,Inflación Alta
"2012-04-13",2,A,1935869.1,221.1484028,6.891,Estrés Moderado,Inflación Alta
"2012-04-20",2,A,1847344.45,221.2021074,6.891,Estrés Moderado,Inflación Alta
"2012-04-27",2,A,1764133.09,221.255812,6.891,Estrés Moderado,Inflación Alta
"2012-05-04",2,A,1923957.0899999999,221.3095166,6.891,Estrés Moderado,Inflación Alta
"2012-05-11",2,A,1917520.99,221.3632212,6.891,Estrés Moderado,Inflación Alta
"2012-05-18",2,A,2000940.67,221.380331,6.891,Estrés Moderado,Inflación Alta
"2012-05-25",2,A,1912791.09,221.3828029,6.891,Estrés Moderado,Inflación Alta
"2012-06-01",2,A,1910092.37,221.3852748,6.891,Estrés Moderado,Inflación Alta
"2012-06-08",2,A,2010216.49,221.3877467,6.891,Estrés Moderado,Inflación Alta
"2012-06-15",2,A,1962924.3,221.4009901,6.891,Estrés Moderado,Inflación Alta
"2012-06-22",2,A,1887733.21,221.4411622,6.891,Estrés Moderado,Inflación Alta
"2012-06-29",2,A,1881046.12,221.4813343,6.891,Estrés Moderado,Inflación Alta
"2012-07-06",2,A,2041507.4,221.5215064,6.565,Estrés Moderado,Inflación Alta
"2012-07-13",2,A,1830075.13,221.5616784,6.565,Estrés Moderado,Inflación Alta
"2012-07-20",2,A,1819666.46,221.5701123,6.565,Estrés Moderado,Inflación Alta
"2012-07-27",2,A,1757923.88,221.5785461,6.565,Estrés Moderado,Inflación Alta
"2012-08-03",2,A,1946104.6400000001,221.5869799,6.565,Estrés Moderado,Inflación Alta
"2012-08-10",2,A,1866719.96,221.5954138,6.565,Estrés Moderado,Inflación Alta
"2012-08-17",2,A,1928016.01,221.6751459,6.565,Estrés Moderado,Inflación Alta
"2012-08-24",2,A,1876788.15,221.8083518,6.565,Estrés Moderado,Inflación Alta
"2012-08-31",2,A,1947083.3,221.9415576,6.565,Estrés Moderado,Inflación Alta
"2012-09-07",2,A,1898777.07,222.0747635,6.565,Estrés Moderado,Inflación Alta
"2012-09-14",2,A,1814806.6300000001,222.2174395,6.565,Estrés Moderado,Inflación Alta
"2012-09-21",2,A,1829415.67,222.4169362,6.565,Estrés Moderado,Inflación Alta
"2012-09-28",2,A,1746470.56,222.6164329,6.565,Estrés Moderado,Inflación Alta
"2012-10-05",2,A,1998321.04,222.8159296,6.17,Estabilidad Laboral,Inflación Alta
"2012-10-12",2,A,1900745.13,223.0154263,6.17,Estabilidad Laboral,Inflación Alta
"2012-10-19",2,A,1847990.41,223.0598077,6.17,Estabilidad Laboral,Inflación Alta
"2012-10-26",2,A,1834458.35,223.0783366,6.17,Estabilidad Laboral,Inflación Alta
"2010-02-05",3,B,461622.22,214.4248812,7.368,Estrés Moderado,Inflación Alta
"2010-02-12",3,B,420728.96,214.5747916,7.368,Estrés Moderado,Inflación Alta
"2010-02-19",3,B,421642.19,214.6198868,7.368,Estrés Moderado,Inflación Alta
"2010-02-26",3,B,407204.86,214.6475127,7.368,Estrés Moderado,Inflación Alta
"2010-03-05",3,B,415202.04000000004,214.6751386,7.368,Estrés Moderado,Inflación Alta
"2010-03-12",3,B,384200.69,214.7027646,7.368,Estrés Moderado,Inflación Alta
"2010-03-19",3,B,375328.59,214.5301219,7.368,Estrés Moderado,Inflación Alta
"2010-03-26",3,B,359949.27,214.3241011,7.368,Estrés Moderado,Inflación Alta
"2010-04-02",3,B,423294.4,214.1180803,7.343,Estrés Moderado,Inflación Alta
"2010-04-09",3,B,415870.27999999997,213.9120595,7.343,Estrés Moderado,Inflación Alta
"2010-04-16",3,B,354993.26,213.7726889,7.343,Estrés Moderado,Inflación Alta
"2010-04-23",3,B,339976.65,213.7221852,7.343,Estrés Moderado,Inflación Alta
"2010-04-30",3,B,361248.39,213.6716815,7.343,Estrés Moderado,Inflación Alta
"2010-05-07",3,B,399323.86,213.6211778,7.343,Estrés Moderado,Inflación Alta
"2010-05-14",3,B,384357.94,213.6196139,7.343,Estrés Moderado,Inflación Alta
"2010-05-21",3,B,343763.17,213.9116886,7.343,Estrés Moderado,Inflación Alta
"2010-05-28",3,B,350089.23,214.2037634,7.343,Estrés Moderado,Inflación Alta
"2010-06-04",3,B,396968.8,214.4958382,7.343,Estrés Moderado,Inflación Alta
"2010-06-11",3,B,355017.09,214.787913,7.343,Estrés Moderado,Inflación Alta
"2010-06-18",3,B,364076.85,214.7858259,7.343,Estrés Moderado,Inflación Alta
"2010-06-25",3,B,357346.48,214.6660741,7.343,Estrés Moderado,Inflación Alta
